"Year","Date","SPECIES","SURVEY_TYPE","STOCK","COUNT","OFFICIAL_ESCAPEMENT","JulianDay","Days","FishDays","SumFishDays","EscInd","SumEscape","PercentEscape"
2023,2023-06-30,"Chinook Salmon","Ground","Port Dick Creek",0,1,180.5,0,0,0,0,0,0
2023,2023-07-18,"Chinook Salmon","Ground","Port Dick Creek",1,1,198,17.5,8.75,8.75,0.5,0.5,0.5
2023,2023-08-04,"Chinook Salmon","Ground","Port Dick Creek",0,1,215.5,17.5,8.75,17.5,0.5,1,1
2023,2023-07-08,"Chum Salmon","Aerial","Big Kamishak River",0,11481,188,0,0,0,0,0,0
2023,2023-07-25,"Chum Salmon","Aerial","Big Kamishak River",500,11481,205,17,4250,4250,242.857142857143,242.857142857143,0.0228775673340636
2023,2023-07-31,"Chum Salmon","Aerial","Big Kamishak River",3672,11481,211,6,12516,16766,715.2,958.057142857143,0.090250657393626
2023,2023-08-08,"Chum Salmon","Aerial","Big Kamishak River",7740,11481,219,8,45648,62414,2608.45714285714,3566.51428571429,0.335971879432529
2023,2023-08-21,"Chum Salmon","Aerial","Big Kamishak River",4790,11481,232,13,81445,143859,4654,8220.51428571429,0.774386813908484
2023,2023-09-07,"Chum Salmon","Aerial","Big Kamishak River",0,11481,249.5,17.5,41912.5,185771.5,2395,10615.5142857143,1
2023,2023-07-03,"Chum Salmon","Aerial","Brown's Peak Creek",0,5043,183.5,0,0,0,0,0,0
2023,2023-07-21,"Chum Salmon","Aerial","Brown's Peak Creek",1105,5043,201,17.5,9668.75,9668.75,552.5,552.5,0.109568666336143
2023,2023-07-31,"Chum Salmon","Aerial","Brown's Peak Creek",1460,5043,211,10,12825,22493.75,732.857142857143,1285.35714285714,0.254904738295913
2023,2023-08-08,"Chum Salmon","Aerial","Brown's Peak Creek",2220,5043,219,8,14720,37213.75,841.142857142857,2126.5,0.421715418939018
2023,2023-08-21,"Chum Salmon","Aerial","Brown's Peak Creek",2400,5043,232,13,30030,67243.75,1716,3842.5,0.762022806147744
2023,2023-09-07,"Chum Salmon","Aerial","Brown's Peak Creek",0,5043,249.5,17.5,21000,88243.75,1200,5042.5,1
2023,2023-07-03,"Chum Salmon","Aerial","Bruin River",0,14629,183.5,0,0,0,0,0,0
2023,2023-07-21,"Chum Salmon","Aerial","Bruin River",1843,14629,201,17.5,16126.25,16126.25,921.5,921.5,0.0565233887920617
2023,2023-07-25,"Chum Salmon","Aerial","Bruin River",8980,14629,205,4,21646,37772.25,1236.91428571429,2158.41428571429,0.132393803413748
2023,2023-07-31,"Chum Salmon","Aerial","Bruin River",8610,14629,211,6,52770,90542.25,3015.42857142857,5173.84285714286,0.317355541360084
2023,2023-08-08,"Chum Salmon","Aerial","Bruin River",10650,14629,219,8,77040,167582.25,4402.28571428571,9576.12857142857,0.587384957531881
2023,2023-08-21,"Chum Salmon","Aerial","Bruin River",3180,14629,232,13,89895,257477.25,5136.85714285714,14712.9857142857,0.902471852219883
2023,2023-09-07,"Chum Salmon","Aerial","Bruin River",0,14629,249.5,17.5,27825,285302.25,1590,16302.9857142857,1
2023,2023-07-08,"Chum Salmon","Aerial","Cottonwood Creek",0,8702,188,0,0,0,0,0,0
2023,2023-07-21,"Chum Salmon","Aerial","Cottonwood Creek",10,8702,201,13,65,65,3.71428571428571,3.71428571428571,0.000426337839942936
2023,2023-07-25,"Chum Salmon","Aerial","Cottonwood Creek",20,8702,205,4,60,125,3.42857142857143,7.14285714285714,0.000819880461428724
2023,2023-07-31,"Chum Salmon","Aerial","Cottonwood Creek",1230,8702,211,6,3750,3875,214.285714285714,221.428571428571,0.0254162943042904
2023,2023-08-08,"Chum Salmon","Aerial","Cottonwood Creek",3160,8702,219,8,17560,21435,1003.42857142857,1224.85714285714,0.140593101525798
2023,2023-08-21,"Chum Salmon","Aerial","Cottonwood Creek",7245,8702,232,13,67632.5,89067.5,3864.71428571429,5089.57142857143,0.584197623986423
2023,2023-09-07,"Chum Salmon","Aerial","Cottonwood Creek",0,8702,249.5,17.5,63393.75,152461.25,3622.5,8712.07142857143,1
2023,2023-07-13,"Chum Salmon","Aerial","Douglas Reef River",0,760,193.5,0,0,0,0,0,0
2023,2023-07-31,"Chum Salmon","Aerial","Douglas Reef River",760,760,211,17.5,6650,6650,380,380,0.516404581634634
2023,2023-08-08,"Chum Salmon","Aerial","Douglas Reef River",250,760,219,8,4040,10690,230.857142857143,610.857142857143,0.830130071830713
2023,2023-08-25,"Chum Salmon","Aerial","Douglas Reef River",0,760,236.5,17.5,2187.5,12877.5,125,735.857142857143,1
2023,2023-07-13,"Chum Salmon","Aerial","Douglas River",0,8864,193.5,0,0,0,0,0,0
2023,2023-07-31,"Chum Salmon","Aerial","Douglas River",1511,8864,211,17.5,13221.25,13221.25,755.5,755.5,0.0852278679092944
2023,2023-08-08,"Chum Salmon","Aerial","Douglas River",4501,8864,219,8,24048,37269.25,1374.17142857143,2129.67142857143,0.24024798835802
2023,2023-08-21,"Chum Salmon","Aerial","Douglas River",5810,8864,232,13,67021.5,104290.75,3829.8,5959.47142857143,0.672287284875579
2023,2023-09-07,"Chum Salmon","Aerial","Douglas River",0,8864,249.5,17.5,50837.5,155128.25,2905,8864.47142857143,1
2023,2023-07-08,"Chum Salmon","Aerial","Iniskin River",0,18615,188,0,0,0,0,0,0
2023,2023-07-21,"Chum Salmon","Aerial","Iniskin River",320,18615,201,13,2080,2080,118.857142857143,118.857142857143,0.00564776543309604
2023,2023-07-25,"Chum Salmon","Aerial","Iniskin River",4907,18615,205,4,10454,12534,597.371428571429,716.228571428572,0.0340332172780893
2023,2023-07-31,"Chum Salmon","Aerial","Iniskin River",4721,18615,211,6,28884,41418,1650.51428571429,2366.74285714286,0.112461129186525
2023,2023-08-08,"Chum Salmon","Aerial","Iniskin River",8300,18615,219,8,52084,93502,2976.22857142857,5342.97142857143,0.253883347848724
2023,2023-08-21,"Chum Salmon","Aerial","Iniskin River",14481,18615,232,13,148076.5,241578.5,8461.51428571429,13804.4857142857,0.655951298884227
2023,2023-09-07,"Chum Salmon","Aerial","Iniskin River",0,18615,249.5,17.5,126708.75,368287.25,7240.5,21044.9857142857,1
2023,2023-07-03,"Chum Salmon","Aerial","Little Kamishak River",0,52274,183.5,0,0,0,0,0,0
2023,2023-07-21,"Chum Salmon","Aerial","Little Kamishak River",1161,52274,201,17.5,10158.75,10158.75,580.5,580.5,0.011098962539943
2023,2023-07-25,"Chum Salmon","Aerial","Little Kamishak River",7820,52274,205,4,17962,28120.75,1026.4,1606.9,0.0307233814047105
2023,2023-07-31,"Chum Salmon","Aerial","Little Kamishak River",21880,52274,211,6,89100,117220.75,5091.42857142857,6698.32857142857,0.128069763814842
2023,2023-08-08,"Chum Salmon","Aerial","Little Kamishak River",25160,52274,219,8,188160,305380.75,10752,17450.3285714286,0.33364434646681
2023,2023-08-21,"Chum Salmon","Aerial","Little Kamishak River",29270,52274,232,13,353795,659175.75,20216.8571428571,37667.1857142857,0.720183778170429
2023,2023-09-07,"Chum Salmon","Aerial","Little Kamishak River",0,52274,249.5,17.5,256112.5,915288.25,14635,52302.1857142857,1
2023,2023-07-03,"Chum Salmon","Aerial","McNeil River",0,25142,183,0,0,0,0,0,0
2023,2023-07-08,"Chum Salmon","Aerial","McNeil River",8010,25142,188,5,20025,20025,1144.28571428571,1144.28571428571,0.0619311381412308
2023,2023-07-21,"Chum Salmon","Aerial","McNeil River",7240,25142,201,13,99125,119150,5664.28571428571,6808.57142857143,0.368494137804128
2023,2023-07-25,"Chum Salmon","Aerial","McNeil River",5640,25142,205,4,25760,144910,1472,8280.57142857143,0.44816185907844
2023,2023-07-31,"Chum Salmon","Aerial","McNeil River",5430,25142,211,6,33210,178120,1897.71428571429,10178.2857142857,0.550870128625021
2023,2023-08-08,"Chum Salmon","Aerial","McNeil River",7071,25142,219,8,50004,228124,2857.37142857143,13035.6571428571,0.705517051552067
2023,2023-08-21,"Chum Salmon","Aerial","McNeil River",3230,25142,232,13,66956.5,295080.5,3826.08571428571,16861.7428571429,0.912592819389936
2023,2023-09-07,"Chum Salmon","Aerial","McNeil River",0,25142,249.5,17.5,28262.5,323343,1615,18476.7428571429,1
2023,2023-06-25,"Chum Salmon","Aerial","Middle Creek",0,526,175.5,0,0,0,0,0,0
2023,2023-07-13,"Chum Salmon","Aerial","Middle Creek",420,526,193,17.5,3675,3675,210,210,0.11671112804878
2023,2023-07-18,"Chum Salmon","Aerial","Middle Creek",1230,526,198,5,4125,7800,235.714285714286,445.714285714286,0.247713414634146
2023,2023-08-01,"Chum Salmon","Aerial","Middle Creek",762,526,212,14,13944,21744,796.8,1242.51428571429,0.690548780487805
2023,2023-08-15,"Chum Salmon","Aerial","Middle Creek",70,526,226,14,5824,27568,332.8,1575.31428571429,0.875508130081301
2023,2023-08-22,"Chum Salmon","Aerial","Middle Creek",300,526,233,7,1295,28863,74,1649.31428571429,0.916634908536585
2023,2023-09-08,"Chum Salmon","Aerial","Middle Creek",0,526,250.5,17.5,2625,31488,150,1799.31428571429,1
2023,2023-06-30,"Chum Salmon","Aerial","Petrof River",0,10295,180.5,0,0,0,0,0,0
2023,2023-07-18,"Chum Salmon","Aerial","Petrof River",20,10295,198,17.5,175,175,10,10,0.000971345313258863
2023,2023-08-01,"Chum Salmon","Aerial","Petrof River",6860,10295,212,14,48160,48335,2752,2762,0.268285575522098
2023,2023-08-15,"Chum Salmon","Aerial","Petrof River",3630,10295,226,14,73430,121765,4196,6958,0.675862068965517
2023,2023-08-22,"Chum Salmon","Aerial","Petrof River",3730,10295,233,7,25760,147525,1472,8430,0.818844099077222
2023,2023-09-08,"Chum Salmon","Aerial","Petrof River",0,10295,250.5,17.5,32637.5,180162.5,1865,10295,1
2023,2023-06-30,"Chum Salmon","Aerial","Rocky River",0,7912,180.5,0,0,0,0,0,0
2023,2023-07-18,"Chum Salmon","Aerial","Rocky River",580,7912,198,17.5,5075,5075,290,290,0.0320593809222994
2023,2023-07-25,"Chum Salmon","Aerial","Rocky River",2380,7912,205,7,10360,15435,592,882,0.0975047378395452
2023,2023-08-01,"Chum Salmon","Aerial","Rocky River",4910,7912,212,7,25515,40950,1458,2340,0.25868603916614
2023,2023-08-15,"Chum Salmon","Aerial","Rocky River",4460,7912,226,14,65590,106540,3748,6088,0.673025900189514
2023,2023-08-22,"Chum Salmon","Aerial","Rocky River",3310,7912,233,7,27195,133735,1554,7642,0.844819962097284
2023,2023-09-04,"Chum Salmon","Aerial","Rocky River",200,7912,246,13,22815,156550,1303.71428571429,8945.71428571429,0.988945041061276
2023,2023-09-21,"Chum Salmon","Aerial","Rocky River",0,7912,263.5,17.5,1750,158300,100,9045.71428571429,1
2023,2023-07-03,"Chum Salmon","Aerial","Sugarloaf Creek",0,4050,183.5,0,0,0,0,0,0
2023,2023-07-21,"Chum Salmon","Aerial","Sugarloaf Creek",70,4050,201,17.5,612.5,612.5,35,35,0.00864075615433449
2023,2023-07-25,"Chum Salmon","Aerial","Sugarloaf Creek",120,4050,205,4,380,992.5,21.7142857142857,56.7142857142857,0.0140015518092685
2023,2023-07-31,"Chum Salmon","Aerial","Sugarloaf Creek",330,4050,211,6,1350,2342.5,77.1428571428571,133.857142857143,0.0330464837412711
2023,2023-08-08,"Chum Salmon","Aerial","Sugarloaf Creek",520,4050,219,8,3400,5742.5,194.285714285714,328.142857142857,0.0810114974959441
2023,2023-08-21,"Chum Salmon","Aerial","Sugarloaf Creek",4050,4050,232,13,29705,35447.5,1697.42857142857,2025.57142857143,0.500070536784933
2023,2023-09-07,"Chum Salmon","Aerial","Sugarloaf Creek",0,4050,249.5,17.5,35437.5,70885,2025,4050.57142857143,1
2023,2023-07-08,"Chum Salmon","Aerial","Sunday Creek",0,3229,188,0,0,0,0,0,0
2023,2023-07-21,"Chum Salmon","Aerial","Sunday Creek",1515,3229,201,13,9847.5,9847.5,562.714285714286,562.714285714286,0.0949133755813113
2023,2023-07-25,"Chum Salmon","Aerial","Sunday Creek",1520,3229,205,4,6070,15917.5,346.857142857143,909.571428571428,0.153417989927954
2023,2023-07-31,"Chum Salmon","Aerial","Sunday Creek",4600,3229,211,6,18360,34277.5,1049.14285714286,1958.71428571429,0.330377581263102
2023,2023-08-21,"Chum Salmon","Aerial","Sunday Creek",1100,3229,232,21,59850,94127.5,3420,5378.71428571429,0.907231151056601
2023,2023-09-07,"Chum Salmon","Aerial","Sunday Creek",0,3229,249.5,17.5,9625,103752.5,550,5928.71428571429,1
2023,2023-08-05,"Chum Salmon","Ground","Barabara Creek",0,1,216.5,0,0,0,0,0,0
2023,2023-08-23,"Chum Salmon","Ground","Barabara Creek",1,1,234,17.5,8.75,8.75,0.5,0.5,0.5
2023,2023-09-09,"Chum Salmon","Ground","Barabara Creek",0,1,251.5,17.5,8.75,17.5,0.5,1,1
2023,2023-07-01,"Chum Salmon","Ground","Dogfish Lagoon Creeks",0,2732,181.5,0,0,0,0,0,0
2023,2023-07-19,"Chum Salmon","Ground","Dogfish Lagoon Creeks",117,2732,199,17.5,1023.75,1023.75,58.5,58.5,0.0449481367652708
2023,2023-09-08,"Chum Salmon","Ground","Dogfish Lagoon Creeks",548,2732,250,51,16957.5,17981.25,969,1027.5,0.789473684210526
2023,2023-09-25,"Chum Salmon","Ground","Dogfish Lagoon Creeks",0,2732,267.5,17.5,4795,22776.25,274,1301.5,1
2023,2023-07-06,"Chum Salmon","Ground","Humpy Creek",0,611,186.5,0,0,0,0,0,0
2023,2023-07-24,"Chum Salmon","Ground","Humpy Creek",136,611,204,17.5,1190,1190,68,68,0.108976853865702
2023,2023-08-09,"Chum Salmon","Ground","Humpy Creek",468,611,220,16,4832,6022,276.114285714286,344.114285714286,0.551477826873326
2023,2023-08-22,"Chum Salmon","Ground","Humpy Creek",163,611,233,13,4101.5,10123.5,234.371428571429,578.485714285714,0.927081663957508
2023,2023-08-29,"Chum Salmon","Ground","Humpy Creek",17,611,240,7,630,10753.5,36,614.485714285714,0.984775292474645
2023,2023-09-12,"Chum Salmon","Ground","Humpy Creek",3,611,254,14,140,10893.5,8,622.485714285714,0.997596098811786
2023,2023-09-29,"Chum Salmon","Ground","Humpy Creek",0,611,271.5,17.5,26.25,10919.75,1.5,623.985714285714,1
2023,2023-07-03,"Chum Salmon","Ground","Island Creek",0,21469,183.5,0,0,0,0,0,0
2023,2023-07-21,"Chum Salmon","Ground","Island Creek",12,21469,201,17.5,105,105,6,6,0.000279474773741881
2023,2023-08-19,"Chum Salmon","Ground","Island Creek",13556,21469,230,29,196736,196841,11242.0571428571,11248.0571428571,0.523924704172625
2023,2023-09-13,"Chum Salmon","Ground","Island Creek",443,21469,255,25,174987.5,371828.5,9999.28571428571,21247.3428571429,0.989682722936029
2023,2023-09-30,"Chum Salmon","Ground","Island Creek",0,21469,272.5,17.5,3876.25,375704.75,221.5,21468.8428571429,1
2023,2023-06-30,"Chum Salmon","Ground","Port Dick Creek",0,7126,180.5,0,0,0,0,0,0
2023,2023-07-18,"Chum Salmon","Ground","Port Dick Creek",671,7126,198,17.5,5871.25,5871.25,335.5,335.5,0.0470832823774
2023,2023-08-04,"Chum Salmon","Ground","Port Dick Creek",4585,7126,215,17,44676,50547.25,2552.91428571429,2888.41428571429,0.40535327999166
2023,2023-09-05,"Chum Salmon","Ground","Port Dick Creek",32,7126,247,32,73872,124419.25,4221.25714285714,7109.67142857143,0.997754597561734
2023,2023-09-22,"Chum Salmon","Ground","Port Dick Creek",0,7126,264.5,17.5,280,124699.25,16,7125.67142857143,1
2023,2023-06-25,"Chum Salmon","Ground","Port Graham River",0,1212,175.5,0,0,0,0,0,0
2023,2023-07-13,"Chum Salmon","Ground","Port Graham River",20,1212,193,17.5,175,175,10,10,0.00824858890211282
2023,2023-07-26,"Chum Salmon","Ground","Port Graham River",583,1212,206,13,3919.5,4094.5,223.971428571429,233.971428571429,0.192993412912577
2023,2023-08-07,"Chum Salmon","Ground","Port Graham River",715,1212,218,12,7788,11882.5,445.028571428571,679,0.56007918645346
2023,2023-08-18,"Chum Salmon","Ground","Port Graham River",379,1212,229,11,6017,17899.5,343.828571428571,1022.82857142857,0.843689240304962
2023,2023-09-04,"Chum Salmon","Ground","Port Graham River",0,1212,246.5,17.5,3316.25,21215.75,189.5,1212.32857142857,1
2023,2023-07-10,"Chum Salmon","Ground","Seldovia River",0,580,190.5,0,0,0,0,0,0
2023,2023-07-28,"Chum Salmon","Ground","Seldovia River",433,580,208,17.5,3788.75,3788.75,216.5,216.5,0.34743237047226
2023,2023-08-08,"Chum Salmon","Ground","Seldovia River",263,580,219,11,3828,7616.75,218.742857142857,435.242857142857,0.698464007336084
2023,2023-08-21,"Chum Salmon","Ground","Seldovia River",129,580,232,13,2548,10164.75,145.6,580.842857142857,0.932118294360385
2023,2023-08-28,"Chum Salmon","Ground","Seldovia River",23,580,239,7,532,10696.75,30.4,611.242857142857,0.980903255387437
2023,2023-09-11,"Chum Salmon","Ground","Seldovia River",3,580,253,14,182,10878.75,10.4,621.642857142857,0.997592847317744
2023,2023-09-28,"Chum Salmon","Ground","Seldovia River",0,580,270.5,17.5,26.25,10905,1.5,623.142857142857,1
2023,2023-08-17,"Coho Salmon","Aerial","Delight Lake",0,360,228.5,0,0,0,0,0,0
2023,2023-09-04,"Coho Salmon","Aerial","Delight Lake",360,360,246,17.5,3150,3150,180,180,0.5
2023,2023-09-21,"Coho Salmon","Aerial","Delight Lake",0,360,263.5,17.5,3150,6300,180,360,1
2023,2023-08-03,"Coho Salmon","Aerial","Douglas Reef River",0,1392,214.5,0,0,0,0,0,0
2023,2023-08-21,"Coho Salmon","Aerial","Douglas Reef River",1390,1392,232,17.5,12162.5,12162.5,695,695,0.5
2023,2023-09-07,"Coho Salmon","Aerial","Douglas Reef River",0,1392,249.5,17.5,12162.5,24325,695,1390,1
2023,2023-08-03,"Coho Salmon","Aerial","Douglas River",0,10,214.5,0,0,0,0,0,0
2023,2023-08-21,"Coho Salmon","Aerial","Douglas River",10,10,232,17.5,87.5,87.5,5,5,0.5
2023,2023-09-07,"Coho Salmon","Aerial","Douglas River",0,10,249.5,17.5,87.5,175,5,10,1
2023,2023-08-03,"Coho Salmon","Aerial","Paint River",0,800,214.5,0,0,0,0,0,0
2023,2023-08-21,"Coho Salmon","Aerial","Paint River",800,800,232,17.5,7000,7000,400,400,0.5
2023,2023-09-07,"Coho Salmon","Aerial","Paint River",0,800,249.5,17.5,7000,14000,400,800,1
2023,2023-08-11,"Coho Salmon","Ground","Humpy Creek",0,6,222.5,0,0,0,0,0,0
2023,2023-08-29,"Coho Salmon","Ground","Humpy Creek",1,6,240,17.5,8.75,8.75,0.5,0.5,0.0793650793650794
2023,2023-09-12,"Coho Salmon","Ground","Humpy Creek",6,6,254,14,49,57.75,2.8,3.3,0.523809523809524
2023,2023-09-29,"Coho Salmon","Ground","Humpy Creek",0,6,271.5,17.5,52.5,110.25,3,6.3,1
2023,2023-08-18,"Coho Salmon","Ground","Port Dick Creek",0,12,229.5,0,0,0,0,0,0
2023,2023-09-05,"Coho Salmon","Ground","Port Dick Creek",12,12,247,17.5,105,105,6,6,0.5
2023,2023-09-22,"Coho Salmon","Ground","Port Dick Creek",0,12,264.5,17.5,105,210,6,12,1
2023,2023-07-03,"Pink Salmon","Aerial","Amakdedori Creek",0,12802,183.5,0,0,0,0,0,0
2023,2023-07-21,"Pink Salmon","Aerial","Amakdedori Creek",1100,12802,201,17.5,9625,9625,550,550,0.0422965371770083
2023,2023-07-25,"Pink Salmon","Aerial","Amakdedori Creek",2300,12802,205,4,6800,16425,388.571428571429,938.571428571429,0.0721787660397258
2023,2023-07-31,"Pink Salmon","Aerial","Amakdedori Creek",2000,12802,211,6,12900,29325,737.142857142857,1675.71428571429,0.128867111970469
2023,2023-08-08,"Pink Salmon","Aerial","Amakdedori Creek",4320,12802,219,8,25280,54605,1444.57142857143,3120.28571428571,0.239958692213043
2023,2023-08-21,"Pink Salmon","Aerial","Amakdedori Creek",9500,12802,232,13,89830,144435,5133.14285714286,8253.42857142857,0.634711724380383
2023,2023-09-07,"Pink Salmon","Aerial","Amakdedori Creek",0,12802,249.5,17.5,83125,227560,4750,13003.4285714286,1
2023,2023-07-07,"Pink Salmon","Aerial","Brown's Peak Creek",0,51114,187.5,0,0,0,0,0,0
2023,2023-07-25,"Pink Salmon","Aerial","Brown's Peak Creek",3000,51114,205,17.5,26250,26250,1500,1500,0.0291909924937448
2023,2023-07-31,"Pink Salmon","Aerial","Brown's Peak Creek",11910,51114,211,6,44730,70980,2556,4056,0.0789324437030859
2023,2023-08-08,"Pink Salmon","Aerial","Brown's Peak Creek",37310,51114,219,8,196880,267860,11250.2857142857,15306.2857142857,0.297870447595218
2023,2023-08-21,"Pink Salmon","Aerial","Brown's Peak Creek",25500,51114,232,13,408265,676125,23329.4285714286,38635.7142857143,0.751876563803169
2023,2023-09-07,"Pink Salmon","Aerial","Brown's Peak Creek",0,51114,249.5,17.5,223125,899250,12750,51385.7142857143,1
2023,2023-07-13,"Pink Salmon","Aerial","Bruin River",0,29617,193.5,0,0,0,0,0,0
2023,2023-07-31,"Pink Salmon","Aerial","Bruin River",3100,29617,211,17.5,27125,27125,1550,1550,0.0634733061109876
2023,2023-08-08,"Pink Salmon","Aerial","Bruin River",3240,29617,219,8,25360,52485,1449.14285714286,2999.14285714286,0.122816459769039
2023,2023-08-21,"Pink Salmon","Aerial","Bruin River",23200,29617,232,13,171860,224345,9820.57142857143,12819.7142857143,0.524973967169383
2023,2023-09-07,"Pink Salmon","Aerial","Bruin River",0,29617,249.5,17.5,203000,427345,11600,24419.7142857143,1
2023,2023-07-14,"Pink Salmon","Aerial","Delusion Lake",0,6126,194.5,0,0,0,0,0,0
2023,2023-08-01,"Pink Salmon","Aerial","Delusion Lake",1600,6126,212,17.5,14000,14000,800,800,0.131963427278726
2023,2023-09-04,"Pink Salmon","Aerial","Delusion Lake",2520,6126,246,34,70040,84040,4002.28571428571,4802.28571428571,0.792157602036007
2023,2023-09-21,"Pink Salmon","Aerial","Delusion Lake",0,6126,263.5,17.5,22050,106090,1260,6062.28571428571,1
2023,2023-07-14,"Pink Salmon","Aerial","Desire Lake",0,5907,194.5,0,0,0,0,0,0
2023,2023-08-01,"Pink Salmon","Aerial","Desire Lake",500,5907,212,17.5,4375,4375,250,250,0.0424757281553398
2023,2023-09-04,"Pink Salmon","Aerial","Desire Lake",3500,5907,246,34,68000,72375,3885.71428571429,4135.71428571429,0.702669902912621
2023,2023-09-21,"Pink Salmon","Aerial","Desire Lake",0,5907,263.5,17.5,30625,103000,1750,5885.71428571429,1
2023,2023-07-28,"Pink Salmon","Aerial","Herring Pete Creeks",0,60,208.5,0,0,0,0,0,0
2023,2023-08-15,"Pink Salmon","Aerial","Herring Pete Creeks",60,60,226,17.5,525,525,30,30,0.5
2023,2023-09-01,"Pink Salmon","Aerial","Herring Pete Creeks",0,60,243.5,17.5,525,1050,30,60,1
2023,2023-08-17,"Pink Salmon","Aerial","Home Cove Creeks",0,1800,228.5,0,0,0,0,0,0
2023,2023-09-04,"Pink Salmon","Aerial","Home Cove Creeks",1000,1800,246,17.5,8750,8750,500,500,0.5
2023,2023-09-21,"Pink Salmon","Aerial","Home Cove Creeks",0,1800,263.5,17.5,8750,17500,500,1000,1
2023,2023-06-30,"Pink Salmon","Aerial","Middle Creek",0,12957,180.5,0,0,0,0,0,0
2023,2023-07-18,"Pink Salmon","Aerial","Middle Creek",1100,12957,198,17.5,9625,9625,550,550,0.0303613393687996
2023,2023-08-01,"Pink Salmon","Aerial","Middle Creek",1420,12957,212,14,17640,27265,1008,1558,0.0860053940665268
2023,2023-08-15,"Pink Salmon","Aerial","Middle Creek",3510,12957,226,14,34510,61775,1972,3530,0.194864596312477
2023,2023-08-22,"Pink Salmon","Aerial","Middle Creek",10540,12957,233,7,49175,110950,2810,6340,0.349983439269435
2023,2023-09-04,"Pink Salmon","Aerial","Middle Creek",9020,12957,246,13,127140,238090,7265.14285714286,13605.1428571429,0.751037017175843
2023,2023-09-21,"Pink Salmon","Aerial","Middle Creek",0,12957,263.5,17.5,78925,317015,4510,18115.1428571429,1
2023,2023-07-28,"Pink Salmon","Aerial","Port Chatham Creeks",0,20230,208.5,0,0,0,0,0,0
2023,2023-08-15,"Pink Salmon","Aerial","Port Chatham Creeks",9102,20230,226,17.5,79642.5,79642.5,4551,4551,0.209369545100843
2023,2023-08-22,"Pink Salmon","Aerial","Port Chatham Creeks",8940,20230,233,7,63147,142789.5,3608.4,8159.4,0.375374613556542
